"Country","All","M","F","Sex gap"
"Greenland",74.5,71.8,77.3,5.5
"Venezuela",74.5,71.5,77.7,6.2
"Belize",74.3,72.6,76.1,3.5
"Cabo Verde",74.3,72,76.7,4.7
"Morocco",74.2,72.5,76,3.5
"Bhutan",73.7,72.5,75,2.5
"Iraq",73.7,71.9,75.7,3.8
"Indonesia",73.6,71.3,76,4.7
"Guatemala",73.5,71.5,75.6,4.1
"Korea, North",73.5,70.2,77,6.8
"Kazakhstan",73.3,69,77.9,8.9
"Honduras",73.1,69.6,76.8,7.2
"Kosovo",73.1,71,75.5,4.5
"Malawi",73,69.9,76.1,6.2
"Nepal",73,72.2,73.7,1.5
"Congo (Brazzaville)",72.9,71.5,74.3,2.8
"Kyrgyzstan",72.9,68.9,77.2,8.3
"Georgia",72.8,68.7,77.2,8.5
"Suriname",72.7,69,76.7,7.7
"Dominican Republic",72.6,71,74.3,3.3
"Bolivia",72.5,71,74,3
"Guyana",72.4,70.6,74.3,3.7
"Turkmenistan",72.4,69.4,75.5,6.1
"Russia",72.3,67.4,77.4,10
"Togo",72.1,69.5,74.7,5.2
"Mongolia",71.9,67.8,76.3,8.5
"South Africa",71.9,70.3,73.5,3.2
"Tajikistan",71.9,70.1,73.8,3.7
"Cambodia",71.4,69.6,73.3,3.7
"Philippines",70.8,67.3,74.5,7.2
"Tanzania",70.8,69,72.6,3.6
"Senegal",70.6,68.8,72.4,3.6
"Timor-Leste",70.5,68.9,72.3,3.4
"Ukraine",70.5,65.4,75.8,10.4
"Gabon",70.4,68.6,72.1,3.5
"Kenya",70.4,68.6,72.2,3.6
"Burma",70.3,68.5,72.1,3.6
"Pakistan",70.3,68.2,72.5,4.3
"Ghana",70.1,68.4,71.8,3.4
"Moldova",70.1,66.1,74.4,8.3
"Papua New Guinea",70.1,68.3,71.9,3.6
"Uganda",69.7,67.5,72,4.5
"Laos",69,67.4,70.7,3.3
"Tuvalu",69,66.5,71.6,5.1
"Peru",68.9,65.4,72.7,7.3
"Madagascar",68.8,67.3,70.3,3
"Nauru",68.6,65,72.3,7.3
"Kiribati",68.5,65.9,71.3,5.4
"Gambia, The",68.4,66.7,70.1,3.4
"India",68.2,66.5,70.1,3.6
"Yemen",68.2,65.8,70.6,4.8
"Burundi",68.1,66,70.3,4.3
"Comoros",67.8,65.5,70.2,4.7
"Sudan",67.8,65.5,70.2,4.7
"Ethiopia",67.7,65.4,70,4.6
"Sao Tome and Principe",67.7,66,69.4,3.4
"Eritrea",67.5,64.9,70.2,5.3
"Zimbabwe",67.2,65.6,68.8,3.2
"Zambia",66.9,65.2,68.7,3.5
"Rwanda",66.6,64.6,68.6,4
"Botswana",66.4,64.4,68.6,4.2
"Djibouti",65.9,63.4,68.5,5.1
"Mauritania",65.9,63.4,68.5,5.1
"Namibia",65.9,64.2,67.6,3.4
"Haiti",65.6,63.8,67.4,3.6
"Guinea",64.6,62.7,66.6,3.9
"Guinea-Bissau",64.5,62.2,66.8,4.6
"Burkina Faso",64.2,62.3,66.1,3.8
"Cameroon",64.2,62.3,66.1,3.8
"Equatorial Guinea",63.9,61.6,66.2,4.6
"Côte d’Ivoire",63.2,60.9,65.4,4.5
"Mali",63.2,60.9,65.6,4.7
"Benin",63,61.1,65,3.9
"Angola",62.9,60.8,65.1,4.3
"Congo (Kinshasa)",62.6,60.7,64.6,3.9
"Nigeria",62.2,60.4,64.2,3.8
"Liberia",61.6,59.9,63.3,3.4
"Niger",60.9,59.3,62.5,3.2
"Eswatini",60.7,58.7,62.8,4.1
"South Sudan",60.3,58.4,62.2,3.8
"Lesotho",60.2,58.1,62.3,4.2
"Chad",60,58.1,62,3.9
"Sierra Leone",59.4,57.8,61,3.2
"Mozambique",58.3,57.1,59.6,2.5
"Somalia",56.5,54.1,59,4.9
"Central African Republic",56.4,55.1,57.7,2.6
"Afghanistan",54.4,52.8,56.1,3.3
"World (2020)",70.5,68.4,72.6,4.2
"European Union (2021)",77.63,72.98,82.51,9.53
